query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
amPh_102_00015	522373.Smlt1858	2.00E-253	708	"28HVV@1|root,2Z820@2|Bacteria,1NMDF@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00016	522373.Smlt1859	6.40E-223	618	"28KRA@1|root,2ZA8W@2|Bacteria,1R7WX@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00017	522373.Smlt1860	0	1342	"COG5283@1|root,COG5283@2|Bacteria,1QTU4@1224|Proteobacteria"	1224|Proteobacteria	S	tape measure	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00018	330214.NIDE0113	3.52E-121	349	"28IDB@1|root,2Z8FM@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00019	375286.mma_2777	7.00E-16	72.4	"2DQX4@1|root,3395J@2|Bacteria,1NDMR@1224|Proteobacteria,2VWSM@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00020	522373.Smlt1862	8.01E-68	207	"29R08@1|root,30C1B@2|Bacteria,1RGEJ@1224|Proteobacteria,1SPY0@1236|Gammaproteobacteria,1X88D@135614|Xanthomonadales"	135614|Xanthomonadales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00021	330214.NIDE0111	2.57E-171	479	"2DBUA@1|root,2ZB4Z@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00022	1265502.KB905950_gene895	2.19E-25	95.5	"2EC6V@1|root,3365B@2|Bacteria,1NBN4@1224|Proteobacteria,2VXI4@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00023	375286.mma_2773	1.75E-86	255	"28PXE@1|root,2ZCHE@2|Bacteria,1RBH2@1224|Proteobacteria,2VR1B@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00024	795666.MW7_0990	9.94E-54	169	"2D3KU@1|root,32R6F@2|Bacteria,1MZ1Z@1224|Proteobacteria,2VTVC@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00025	1265502.KB905950_gene892	5.45E-234	645	"28H75@1|root,2Z7JG@2|Bacteria,1MU3Y@1224|Proteobacteria,2VNKC@28216|Betaproteobacteria,4ABKP@80864|Comamonadaceae"	28216|Betaproteobacteria	S	Phage major capsid protein E	-	-	-	-	-	-	-	-	-	-	-	-	Phage_cap_E
amPh_102_00026	795666.MW7_0992	2.46E-58	183	"2A916@1|root,30Y54@2|Bacteria,1RF9B@1224|Proteobacteria,2VRZX@28216|Betaproteobacteria,1K7NK@119060|Burkholderiaceae"	28216|Betaproteobacteria	S	Bacteriophage lambda head decoration protein D	-	-	-	-	-	-	-	-	-	-	-	-	HDPD
amPh_102_00027	375286.mma_2769	1.49E-199	566	"COG0616@1|root,COG0616@2|Bacteria,1QGPW@1224|Proteobacteria,2VJ0N@28216|Betaproteobacteria"	28216|Betaproteobacteria	OU	PFAM peptidase S49	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S49
amPh_102_00028	375286.mma_2768	0	921	"COG5511@1|root,COG5511@2|Bacteria,1MVN4@1224|Proteobacteria,2VKKT@28216|Betaproteobacteria"	28216|Betaproteobacteria	S	"Phage portal protein, lambda family"	-	-	-	-	-	-	-	-	-	-	-	-	Phage_portal_2
amPh_102_00029	375286.mma_2766	3.60E-42	143	"2DQPE@1|root,32UPF@2|Bacteria,1N4YM@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00030	330214.NIDE0102	5.71E-64	197	"28NNR@1|root,2ZBNX@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00031	1265502.KB906010_gene102	9.33E-88	260	"COG5511@1|root,2ZER7@2|Bacteria,1RAE0@1224|Proteobacteria,2VQ76@28216|Betaproteobacteria,4ADFF@80864|Comamonadaceae"	28216|Betaproteobacteria	S	"Phage portal protein, lambda family"	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00032	375286.mma_2764	0	1241	"COG5525@1|root,COG5525@2|Bacteria,1MVS3@1224|Proteobacteria,2VIPB@28216|Betaproteobacteria"	28216|Betaproteobacteria	S	terminase GpA	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_GpA
amPh_102_00033	596154.Alide2_2017	7.79E-102	298	"28IA5@1|root,2Z8CS@2|Bacteria,1QI95@1224|Proteobacteria,2VQBU@28216|Betaproteobacteria,4ADUJ@80864|Comamonadaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00034	522373.Smlt1875	9.47E-39	129	"COG1846@1|root,COG1846@2|Bacteria,1NM33@1224|Proteobacteria,1SJI1@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00035	535289.Dtpsy_3212	2.02E-110	320	"COG1595@1|root,COG1595@2|Bacteria,1PWG2@1224|Proteobacteria,2VNSU@28216|Betaproteobacteria,4ADUD@80864|Comamonadaceae"	28216|Betaproteobacteria	K	Protein of unknown function (DUF3489)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3489
amPh_102_00036	1223521.BBJX01000010_gene99	4.81E-72	217	"29U1D@1|root,30FAK@2|Bacteria,1RCY2@1224|Proteobacteria,2VTPC@28216|Betaproteobacteria"	28216|Betaproteobacteria	S	Evidence 4 Homologs of previously reported genes of	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00037	330214.NIDE0094	5.87E-38	127	"2E1U6@1|root,32X3V@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00038	535289.Dtpsy_3216	1.08E-293	802	"COG0863@1|root,COG1475@1|root,COG0863@2|Bacteria,COG1475@2|Bacteria,1MVH7@1224|Proteobacteria,2VKJR@28216|Betaproteobacteria,4ACE4@80864|Comamonadaceae"	28216|Betaproteobacteria	L	DNA methylase	-	-	-	-	-	-	-	-	-	-	-	-	"N6_N4_Mtase,ParBc"
amPh_102_00039	535289.Dtpsy_3217	0	888	"COG0863@1|root,COG1475@1|root,COG0863@2|Bacteria,COG1475@2|Bacteria,1MVH7@1224|Proteobacteria,2VMNJ@28216|Betaproteobacteria,4AAIS@80864|Comamonadaceae"	28216|Betaproteobacteria	L	ParB-like nuclease domain	-	-	-	-	-	-	-	-	-	-	-	-	"N6_N4_Mtase,ParBc"
amPh_102_00040	330214.NIDE0090	2.30E-96	280	"2BWGA@1|root,2ZC12@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00041	596154.Alide2_2009	1.89E-105	305	"COG0817@1|root,COG0817@2|Bacteria,1RCYK@1224|Proteobacteria,2VHSV@28216|Betaproteobacteria,4ACUZ@80864|Comamonadaceae"	28216|Betaproteobacteria	L	"16.7 kDa protein gp11 SWALL Q9JMN0 (EMBL AB036666) (151 aa) fasta scores E() 1.7e-13, 36.61 id in 142 aa, and to Ralstonia solanacearum bacteriophage-related protein rsc3228 or rs02445 SWALL Q8XUG0 (EMBL AL646074) (154 aa) fasta scores E() 1.1e-21, 46.35 id in 151 aa"	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00042	596154.Alide2_2008	0	1461	"COG3378@1|root,COG3378@2|Bacteria,1MV7I@1224|Proteobacteria,2VM9Y@28216|Betaproteobacteria,4ABPN@80864|Comamonadaceae"	28216|Betaproteobacteria	S	D5 N terminal like	-	-	-	ko:K06919	-	-	-	-	ko00000	-	-	-	"D5_N,PriCT_2"
amPh_102_00043	596154.Alide2_2007	3.89E-46	149	"2CD16@1|root,332V4@2|Bacteria,1N8AA@1224|Proteobacteria,2VXD5@28216|Betaproteobacteria,4AIAI@80864|Comamonadaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00044	1223521.BBJX01000010_gene164	4.27E-167	468	"28J3M@1|root,2Z8ZT@2|Bacteria,1Q2A4@1224|Proteobacteria,2VNFP@28216|Betaproteobacteria,4A9TU@80864|Comamonadaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00045	330214.NIDE0084	1.65E-112	323	"28J70@1|root,2Z92H@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00046	535289.Dtpsy_3225	3.38E-130	371	"28HUJ@1|root,2Z819@2|Bacteria,1MW8B@1224|Proteobacteria,2VM17@28216|Betaproteobacteria,4ABB9@80864|Comamonadaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00047	535289.Dtpsy_3226	1.14E-188	525	"COG1100@1|root,COG1100@2|Bacteria,1N5QS@1224|Proteobacteria,2VJJ9@28216|Betaproteobacteria,4ACWU@80864|Comamonadaceae"	28216|Betaproteobacteria	S	AAA domain	-	-	-	-	-	-	-	-	-	-	-	-	AAA_24
amPh_102_00048	535289.Dtpsy_3227	3.00E-171	479	"COG3617@1|root,COG3617@2|Bacteria,1N09A@1224|Proteobacteria,2VWEW@28216|Betaproteobacteria,4AFQE@80864|Comamonadaceae"	28216|Betaproteobacteria	K	"BRO family, N-terminal domain"	-	-	-	-	-	-	-	-	-	-	-	-	"Bro-N,ORF6C"
amPh_102_00049	522373.Smlt1893	1.79E-99	290	"2AK7J@1|root,2Z93W@2|Bacteria,1R9MU@1224|Proteobacteria,1SFEB@1236|Gammaproteobacteria,1X6I8@135614|Xanthomonadales"	135614|Xanthomonadales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00050	596154.Alide2_2000	1.42E-52	165	"2CZI9@1|root,32T6F@2|Bacteria,1QXQ6@1224|Proteobacteria,2WHM8@28216|Betaproteobacteria,4AK3Y@80864|Comamonadaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00051	330214.NIDE0078	6.29E-143	412	"28MUI@1|root,2ZB2E@2|Bacteria"	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amPh_102_00052	596154.Alide2_1998	4.62E-261	724	"2DB8P@1|root,2Z7SB@2|Bacteria,1R765@1224|Proteobacteria,2VYI1@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
