query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
janth_10_00023	1007105.PT7_P058	8.25E-109	335	"COG4695@1|root,COG4695@2|Bacteria,1MUP5@1224|Proteobacteria,2VRW1@28216|Betaproteobacteria,3T1RZ@506|Alcaligenaceae"	28216|Betaproteobacteria	S	Phage portal protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_portal
janth_10_00024	399739.Pmen_3971	5.51E-65	207	"COG0740@1|root,COG0740@2|Bacteria,1MUQ9@1224|Proteobacteria,1RRQA@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	OU	Belongs to the peptidase S14 family	-	-	-	-	-	-	-	-	-	-	-	-	CLP_protease
janth_10_00025	1219045.BV98_000576	2.13E-114	347	"COG4653@1|root,COG4653@2|Bacteria,1MWU1@1224|Proteobacteria,2VF2A@28211|Alphaproteobacteria,2K1Y4@204457|Sphingomonadales"	204457|Sphingomonadales	S	Phage capsid family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_capsid
janth_10_00030	1408428.JNJP01000182_gene2411	3.42E-14	70.5	"COG5614@1|root,COG5614@2|Bacteria,1N9Y5@1224|Proteobacteria,42TBI@68525|delta/epsilon subdivisions,2WPUR@28221|Deltaproteobacteria,2MDR6@213115|Desulfovibrionales"	28221|Deltaproteobacteria	S	Phage head-tail joining protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_H_T_join
janth_10_00035	1288494.EBAPG3_31830	2.85E-94	288	"28M7D@1|root,2ZAKV@2|Bacteria,1R6BC@1224|Proteobacteria,2VRQ1@28216|Betaproteobacteria,3747Q@32003|Nitrosomonadales"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_10_00039	29581.BW37_02252	2.08E-125	410	"COG1196@1|root,COG1511@1|root,COG1196@2|Bacteria,COG1511@2|Bacteria"	2|Bacteria	Q	domain protein	-	-	-	ko:K10953	"ko05110,map05110"	-	-	-	"ko00000,ko00001,ko02042"	-	-	-	"ABC2_membrane_3,Peptidase_C80,RtxA,TMP_2"
janth_10_00040	29581.BW37_02251	2.46E-159	460	"COG3325@1|root,COG3325@2|Bacteria,1RKP7@1224|Proteobacteria"	1224|Proteobacteria	G	nuclear chromosome segregation	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_10_00044	29581.BW37_02246	2.30E-127	370	"2EM6B@1|root,33EVJ@2|Bacteria,1NGUQ@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_10_00047	29581.BW37_02244	5.45E-70	214	"2EBIF@1|root,335IY@2|Bacteria,1N7ZB@1224|Proteobacteria,2VY3C@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_11_00001	326297.Sama_2846	3.32E-97	297	"2EM16@1|root,33EQQ@2|Bacteria,1NKJK@1224|Proteobacteria,1SJG7@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_C92
janth_11_00002	29581.BW37_00159	7.36E-229	632	"COG0582@1|root,COG0582@2|Bacteria,1QB64@1224|Proteobacteria,2VIGD@28216|Betaproteobacteria,4756E@75682|Oxalobacteraceae"	28216|Betaproteobacteria	L	Phage integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
janth_11_00003	29581.BW37_00160	4.51E-46	148	"2EK4U@1|root,33DV9@2|Bacteria,1NGNX@1224|Proteobacteria,2VYPZ@28216|Betaproteobacteria"	28216|Betaproteobacteria	S	Domain of unknown function (DUF4224)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4224
janth_11_00006	29581.BW37_00164	0	1145	"28HIF@1|root,2Z7TX@2|Bacteria,1MY24@1224|Proteobacteria,2VM3H@28216|Betaproteobacteria,4761Y@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Bacteriophage replication gene A protein (GPA)	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPA
janth_11_00007	29581.BW37_00165	1.34E-74	223	"29MFM@1|root,308DH@2|Bacteria,1PXDW@1224|Proteobacteria,2WCUU@28216|Betaproteobacteria,4788T@75682|Oxalobacteraceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_11_00009	29581.BW37_00168	1.06E-57	178	"2EGNF@1|root,33AEK@2|Bacteria,1NGZW@1224|Proteobacteria,2VXY5@28216|Betaproteobacteria,4754B@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Ogr/Delta-like zinc finger	-	-	-	-	-	-	-	-	-	-	-	-	Ogr_Delta
janth_11_00010	292.DM42_1834	2.77E-13	64.7	"2EQVB@1|root,33IF4@2|Bacteria,1NQE1@1224|Proteobacteria,2W5RH@28216|Betaproteobacteria,1KBD3@119060|Burkholderiaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_11_00011	292.DM42_1835	6.27E-16	71.6	"294YY@1|root,2ZSBU@2|Bacteria,1P5P0@1224|Proteobacteria,2W5Z8@28216|Betaproteobacteria,1KB3E@119060|Burkholderiaceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_11_00013	1179778.PMM47T1_17075	1.18E-136	416	"COG4928@1|root,COG4928@2|Bacteria,1RFI3@1224|Proteobacteria,1S7PM@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	S	KAP family P-loop domain	-	-	-	-	-	-	-	-	-	-	-	-	KAP_NTPase
janth_11_00014	29581.BW37_00173	1.89E-292	800	"COG3500@1|root,COG3500@2|Bacteria,1MXT8@1224|Proteobacteria,2VN6E@28216|Betaproteobacteria,4731R@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage late control gene D protein (GPD)	-	-	-	ko:K06905	-	-	-	-	ko00000	-	-	-	Phage_GPD
janth_11_00015	29581.BW37_00174	1.34E-131	374	"COG3499@1|root,COG3499@2|Bacteria,1MZJ7@1224|Proteobacteria,2VU06@28216|Betaproteobacteria,474D1@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage P2 GpU	-	-	-	ko:K06906	-	-	-	-	ko00000	-	-	-	Phage_P2_GpU
janth_11_00016	29581.BW37_00175	0	1535	"COG4942@1|root,COG4942@2|Bacteria,1QTW5@1224|Proteobacteria,2WGFW@28216|Betaproteobacteria,4739E@75682|Oxalobacteraceae"	28216|Betaproteobacteria	D	peptidase	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_11_00017	29581.BW37_00177	2.69E-58	181	"2E3XV@1|root,32YUV@2|Bacteria,1N720@1224|Proteobacteria,2VW8H@28216|Betaproteobacteria,474ZY@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	"Phage tail assembly chaperone proteins, E, or 41 or 14"	-	-	-	-	-	-	-	-	-	-	-	-	Phage_TAC_7
janth_11_00018	29581.BW37_00178	2.23E-107	310	"COG3498@1|root,COG3498@2|Bacteria,1Q8HB@1224|Proteobacteria,2VS7R@28216|Betaproteobacteria,4743F@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage tail tube protein FII	-	-	-	ko:K06908	-	-	-	-	ko00000	-	-	-	Phage_tube
janth_11_00019	29581.BW37_00179	1.79E-267	734	"COG3497@1|root,COG3497@2|Bacteria,1MW1V@1224|Proteobacteria,2VHUW@28216|Betaproteobacteria,47380@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage tail sheath C-terminal domain	-	-	-	ko:K06907	-	-	-	-	ko00000	-	-	-	"Phage_sheath_1,Phage_sheath_1C"
janth_11_00021	29581.BW37_00181	1.10E-88	293	"COG5301@1|root,COG5301@2|Bacteria,1MWNN@1224|Proteobacteria,2VSW5@28216|Betaproteobacteria,478VT@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage tail-collar fibre protein	-	-	-	-	-	-	-	-	-	-	-	-	"Collar,DUF3751"
janth_11_00022	29581.BW37_00182	1.17E-127	365	"COG4385@1|root,COG4385@2|Bacteria,1NZST@1224|Proteobacteria,2VQX4@28216|Betaproteobacteria,474X4@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage tail protein (Tail_P2_I)	-	-	-	-	-	-	-	-	-	-	-	-	Tail_P2_I
janth_11_00023	29581.BW37_00183	4.48E-187	523	"COG3948@1|root,COG3948@2|Bacteria,1MUFF@1224|Proteobacteria,2VQAF@28216|Betaproteobacteria,474FM@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Baseplate J-like protein	-	-	-	-	-	-	-	-	-	-	-	-	Baseplate_J
janth_11_00024	29581.BW37_00184	3.08E-74	222	"COG3628@1|root,COG3628@2|Bacteria,1N7WS@1224|Proteobacteria,2VVVK@28216|Betaproteobacteria,474V5@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Gene 25-like lysozyme	gpW	-	-	ko:K06903	-	-	-	-	ko00000	-	-	-	GPW_gp25
janth_11_00025	29581.BW37_00185	9.00E-118	340	"COG4540@1|root,COG4540@2|Bacteria,1N2WK@1224|Proteobacteria,2VV8T@28216|Betaproteobacteria,474IT@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	"Type VI secretion system, phage-baseplate injector"	-	-	-	-	-	-	-	-	-	-	-	-	Phage_base_V
janth_11_00026	521719.ATXQ01000002_gene2687	5.84E-103	308	"COG2826@1|root,COG2826@2|Bacteria,1PP49@1224|Proteobacteria,1RN7B@1236|Gammaproteobacteria,1YF5Z@136841|Pseudomonas aeruginosa group"	1236|Gammaproteobacteria	L	Helix-turn-helix domain	-	-	-	-	-	-	-	-	-	-	-	-	"HTH_38,rve"
janth_11_00027	29581.BW37_02484	1.40E-69	214	"COG5005@1|root,COG5005@2|Bacteria,1MZCV@1224|Proteobacteria,2VUUR@28216|Betaproteobacteria,474J8@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage virion morphogenesis family	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_11_00028	29581.BW37_00188	8.60E-113	323	"2CBI4@1|root,32RTF@2|Bacteria,1MZ82@1224|Proteobacteria,2VVJ6@28216|Betaproteobacteria,474KJ@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	P2 phage tail completion protein R (GpR)	-	-	-	-	-	-	-	-	-	-	-	-	P2_Phage_GpR
janth_11_00029	29581.BW37_00189	1.15E-89	266	"2EIQP@1|root,33CG3@2|Bacteria,1NI9D@1224|Proteobacteria,2WB7T@28216|Betaproteobacteria,4757E@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Bacteriophage Rz lysis protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_lysis
janth_11_00030	29581.BW37_00190	2.27E-122	350	"COG3926@1|root,COG3926@2|Bacteria,1MVXW@1224|Proteobacteria"	1224|Proteobacteria	M	secretion activating protein	-	-	-	-	-	-	-	-	-	-	-	-	"Glyco_hydro_108,PG_binding_3"
janth_11_00031	29581.BW37_00191	8.52E-83	244	"2EBIF@1|root,30TYD@2|Bacteria,1Q9C7@1224|Proteobacteria,2WCJ9@28216|Betaproteobacteria,477RM@75682|Oxalobacteraceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_11_00032	29581.BW37_00192	9.16E-40	132	"COG5004@1|root,COG5004@2|Bacteria,1N81H@1224|Proteobacteria,2VWMM@28216|Betaproteobacteria,4756I@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage Tail Protein X	-	-	-	-	-	-	-	-	-	-	-	-	Phage_tail_X
janth_11_00033	29581.BW37_00193	3.85E-104	302	"2CM6Y@1|root,32SDV@2|Bacteria,1N0DS@1224|Proteobacteria,2VUG9@28216|Betaproteobacteria,474PE@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage head completion protein (GPL)	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPL
janth_11_00034	29581.BW37_00194	2.73E-151	427	"2DKUP@1|root,30DH1@2|Bacteria,1RDUB@1224|Proteobacteria,2VTDJ@28216|Betaproteobacteria,4746A@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage small terminase subunit	-	-	-	-	-	-	-	-	-	-	-	-	Phage_term_smal
janth_11_00035	29581.BW37_00195	5.49E-238	655	"2CCQ9@1|root,2Z7HY@2|Bacteria,1MUWR@1224|Proteobacteria,2VJTE@28216|Betaproteobacteria,472SA@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	"Phage major capsid protein, P2 family"	-	-	-	-	-	-	-	-	-	-	-	-	Phage_cap_P2
janth_11_00036	29581.BW37_00196	7.34E-177	494	"2CAV1@1|root,2ZBY8@2|Bacteria,1RAGI@1224|Proteobacteria,2VQQU@28216|Betaproteobacteria,4741V@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage capsid scaffolding protein (GPO) serine peptidase	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPO
janth_11_00037	29581.BW37_00197	0	1279	"COG4373@1|root,COG4373@2|Bacteria,1MXYV@1224|Proteobacteria,2VJG0@28216|Betaproteobacteria,472BT@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Terminase RNaseH-like domain	-	-	-	-	-	-	-	-	-	-	-	-	"Terminase_5,Terminase_6,Terminase_6C"
janth_11_00038	29581.BW37_00198	8.29E-244	671	"COG4695@1|root,COG4695@2|Bacteria,1MWA5@1224|Proteobacteria,2VNDU@28216|Betaproteobacteria,4723I@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage portal protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_portal
janth_11_00039	29581.BW37_00199	5.78E-39	130	"28QMN@1|root,2ZD3B@2|Bacteria,1P9VE@1224|Proteobacteria,2W5RQ@28216|Betaproteobacteria,4783J@75682|Oxalobacteraceae"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_12_00001	1202962.KB907159_gene3239	8.12E-08	61.6	"COG4974@1|root,COG4974@2|Bacteria,1MVAN@1224|Proteobacteria,1RMSS@1236|Gammaproteobacteria"	1236|Gammaproteobacteria	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	"Phage_int_SAM_4,Phage_integrase"
janth_12_00016	216596.RL3930	1.13E-12	79.3	"28QU5@1|root,2ZD9H@2|Bacteria,1RAU8@1224|Proteobacteria,2UAGW@28211|Alphaproteobacteria,4BMXJ@82115|Rhizobiaceae"	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_12_00020	49964.Q94MS1_9CAUD	5.08E-85	266	"4QB4H@10239|Viruses,4QYQI@35237|dsDNA viruses  no RNA stage,4QUAR@28883|Caudovirales,4QNUV@10744|Podoviridae"	10744|Podoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_12_00025	375286.mma_2206	1.05E-95	303	"COG5323@1|root,COG5323@2|Bacteria"	2|Bacteria	M	Terminase RNaseH-like domain	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_6
janth_12_00028	29581.BW37_02529	3.02E-28	105	"COG2916@1|root,COG2916@2|Bacteria,1N801@1224|Proteobacteria,2VWID@28216|Betaproteobacteria,477JE@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	H-NS histone family	-	-	-	ko:K03746	-	-	-	-	"ko00000,ko03036,ko03400"	-	-	-	Histone_HNS
janth_12_00029	395494.Galf_1832	5.84E-77	242	"2CKW4@1|root,32UUC@2|Bacteria,1R3H8@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_12_00030	1234364.AMSF01000033_gene389	3.02E-45	157	"293CI@1|root,2ZQV2@2|Bacteria,1P46D@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00002	1005048.CFU_2054	6.47E-297	838	"COG0464@1|root,COG0464@2|Bacteria,1NF48@1224|Proteobacteria,2VK2M@28216|Betaproteobacteria,47782@75682|Oxalobacteraceae"	28216|Betaproteobacteria	O	ATPase family associated with various cellular activities (AAA)	-	-	-	-	-	-	-	-	-	-	-	-	AAA
janth_13_00003	1005048.CFU_2053	1.41E-79	241	"COG3555@1|root,COG3555@2|Bacteria,1PZ95@1224|Proteobacteria,2WCT7@28216|Betaproteobacteria,47865@75682|Oxalobacteraceae"	28216|Betaproteobacteria	O	Aspartyl/Asparaginyl beta-hydroxylase	-	-	-	ko:K12979	-	-	-	-	"ko00000,ko01000,ko01005"	-	-	-	Asp_Arg_Hydrox
janth_13_00004	1005048.CFU_2052	4.75E-85	262	"COG0189@1|root,COG0189@2|Bacteria,1NRGN@1224|Proteobacteria,2VZBX@28216|Betaproteobacteria"	28216|Betaproteobacteria	HJ	ligase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00005	999541.bgla_2g12320	2.51E-74	231	"COG0189@1|root,COG0189@2|Bacteria"	2|Bacteria	HJ	Glutathione synthase Ribosomal protein S6 modification enzyme (Glutaminyl transferase)	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00006	1005048.CFU_2050	6.08E-102	308	"2EY04@1|root,33R96@2|Bacteria,1NQK1@1224|Proteobacteria,2VZSC@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00007	1005048.CFU_2049	6.12e-316	920	"2EJNR@1|root,33DDM@2|Bacteria,1NHUB@1224|Proteobacteria,2W0F4@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00008	1005048.CFU_2048	9.60E-49	169	"2DV5B@1|root,33U4B@2|Bacteria,1NUHR@1224|Proteobacteria,2W25X@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00009	1005048.CFU_2047	2.78E-119	353	"COG4385@1|root,COG4385@2|Bacteria,1NM2X@1224|Proteobacteria,2W0NS@28216|Betaproteobacteria"	28216|Betaproteobacteria	S	Phage tail protein (Tail_P2_I)	-	-	-	-	-	-	-	-	-	-	-	-	Tail_P2_I
janth_13_00010	1005048.CFU_2046	1.68E-136	401	"COG3299@1|root,COG3299@2|Bacteria,1MWKI@1224|Proteobacteria,2VJGX@28216|Betaproteobacteria"	28216|Betaproteobacteria	S	homolog of phage Mu protein gp47	-	-	-	-	-	-	-	-	-	-	-	-	Baseplate_J
janth_13_00011	1005048.CFU_2045	0	1239	"COG3299@1|root,COG3299@2|Bacteria,1P3E0@1224|Proteobacteria,2WCJX@28216|Betaproteobacteria,477TJ@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	homolog of phage Mu protein gp47	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00013	1005048.CFU_2043	6.18E-68	207	"COG3628@1|root,COG3628@2|Bacteria,1N23A@1224|Proteobacteria,2WCPT@28216|Betaproteobacteria,47810@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Gene 25-like lysozyme	-	-	-	ko:K06903	-	-	-	-	ko00000	-	-	-	GPW_gp25
janth_13_00014	1005048.CFU_2042	1.15E-80	240	"COG4104@1|root,COG4104@2|Bacteria,1RKQE@1224|Proteobacteria,2VWZ1@28216|Betaproteobacteria"	28216|Betaproteobacteria	S	PAAR motif	-	-	-	-	-	-	-	-	-	-	-	-	PAAR_motif
janth_13_00015	1005048.CFU_2041	1.23E-83	253	"COG3501@1|root,COG3501@2|Bacteria,1MU7Q@1224|Proteobacteria,2VR69@28216|Betaproteobacteria,47831@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Rhs Element Vgr Protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPD
janth_13_00016	1005048.CFU_2040	4.19E-159	456	"COG3500@1|root,COG3500@2|Bacteria,1R67C@1224|Proteobacteria,2VUST@28216|Betaproteobacteria,4782G@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage late control gene D protein (GPD)	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPD
janth_13_00017	999541.bgla_2g12430	3.93E-109	318	"COG1652@1|root,COG1652@2|Bacteria,1RG4I@1224|Proteobacteria,2WCR1@28216|Betaproteobacteria,1KEZ8@119060|Burkholderiaceae"	28216|Betaproteobacteria	S	LysM domain	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00019	1005048.CFU_2037	2.22E-76	232	"2DMQT@1|root,32T2H@2|Bacteria,1Q8UH@1224|Proteobacteria,2WCNH@28216|Betaproteobacteria,477YJ@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	T4-like virus tail tube protein gp19	-	-	-	-	-	-	-	-	-	-	-	-	Phage_T4_gp19
janth_13_00021	999541.bgla_2g12470	9.22E-53	169	"arCOG11412@1|root,31S84@2|Bacteria,1N14M@1224|Proteobacteria"	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00022	999541.bgla_2g12480	2.99E-77	233	"2DB76@1|root,2Z7JZ@2|Bacteria,1R371@1224|Proteobacteria,2WIFZ@28216|Betaproteobacteria,1KISI@119060|Burkholderiaceae"	28216|Betaproteobacteria	S	T4-like virus tail tube protein gp19	-	-	-	-	-	-	-	-	-	-	-	-	Phage_T4_gp19
janth_13_00023	1005048.CFU_2035	2.70E-236	667	"COG3497@1|root,COG3497@2|Bacteria,1MX89@1224|Proteobacteria,2VM4U@28216|Betaproteobacteria,4771I@75682|Oxalobacteraceae"	28216|Betaproteobacteria	S	Phage tail sheath C-terminal domain	-	-	-	ko:K06907	-	-	-	-	ko00000	-	-	-	"Phage_sheath_1,Phage_sheath_1C"
janth_13_00024	1005048.CFU_2034	2.07E-65	206	"2EA8Q@1|root,318VQ@2|Bacteria,1NQ60@1224|Proteobacteria,2W2Z5@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00025	1005048.CFU_2033	1.70E-83	253	"2E7AK@1|root,333Q8@2|Bacteria"	2|Bacteria	S	Protein of unknown function (DUF4255)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4255
janth_13_00026	1005048.CFU_2032	3.32E-90	276	"2EZRP@1|root,33SWH@2|Bacteria,1NT7A@1224|Proteobacteria,2W179@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
janth_13_00027	1005048.CFU_2031	1.31E-52	175	"2CH4P@1|root,33VWU@2|Bacteria,1NVVQ@1224|Proteobacteria,2W2DV@28216|Betaproteobacteria"	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
